,Name of Dam,Year Completed,River,Location,Type,Height (m),Length (m),Volume content (103m3),Gross Storage Capacity (103m3),Reservoir Area (103m2),Effective Storage Capacity (103m3),Purpose,Designed Spillway Cap m3per sec
102,Jakapur,1977,local,Latur,Earthfill,14.8,2257,322,10176.00,,,Irrigation,1305
103,Pargaon Ghatshil,1977,Kinha,Pargaon Ghatshil,Earthfill,22.46,911.65,297,12450.00,3740,,Irrigation,1467
104,Dhom,1977,Krishna,Wai,EarthfillGravity,50,2478,6335,382270.00,2498,331100.00,Irrigation  Hydroelectricity,1778.29
105,Suki,1977,Suki,Khiroda,Earthfill,42,716,1430,50170.00,366,39860.00,Irrigation,2336
106,Hingani (Pangaon),1977,Bhogawati,"Solapur, Barshi",Earthfill,21.87,2193,74,45510.00,,31970.00,Irrigation,2435
107,Yedgaon,1977,Kukadi,"Pune, Junnar",EarthfillGravity,29.74,4511,1004,93430.00,1700,79270.00,Irrigation,3844
108,Bori,1977,Bori,Parola,Earthfill,20,3365,5534,40960.00,8460,25020.00,Irrigation,4206
109,Adan,1977,Aran,Karanja,EarthfillRockfill,30.13,755,1428,78320.00,10520,67250.00,Irrigation,4623
110,Januna,1978,local,Barshi Takali,Earthfill,11.95,390,150,11310.00,404,1180.00,Irrigation,260
111,Makardhokada,1978,Amb,Umrer,Earthfill,18.81,1645,652.87,21356.00,322,19931.00,Irrigation,450
112,Matoba,1978,Bhima,"Pune, Daund",Earthfill,17.5,1662,45.6,45200.00,1900,37100.00,Irrigation,476
113,Tulshi,1978,Tulshi,Radhanagari,EarthfillGravity,48.68,1512,25,98290.00,533,89910.00,Irrigation  Hydroelectricity,640
114,Khandeshar,1978,Vali,Osmanabad,Earthfill,17.14,1257,305,10840.00,3000,8820.00,Irrigation,800
115,Karadkhed,1978,local,Degloor,Earthfill,19,1454,498,12000.00,289,10980.00,Irrigation,1148
116,Ambadi,1978,Sivana,"Aurangabad, Kannad",Earthfill,20,2210,707,12000.00,,9420.00,Irrigation,1412
117,Barvi,1978,Kalyanthane,Thane,Earthfill,48.78,746,,178580.00,0.04,176940.00,Water Supply,1585
118,Waghadi,1978,Waghadi,Ghatanji,EarthfillGravity,26,960,773,41110.00,6580,35360.00,Irrigation,1815
119,Aner,1978,Aner,Shivpur,Earthfill,47,2275,3162,103270.00,,58914.00,Irrigation,4318
120,Waghad,1979,Kalwan,"Nashik, Dindori",Earthfill,45.6,952,1783,76480.00,526,70000.00,Irrigation,1610
